How much interest do you have in the following information [learning how to make decision using statistics],How much interest do you have in the following information [gaining a statistical literacy],How much interest do you have in the following information [understanding the nature of data],How much interest do you have in the following information [learning the idea of hypothesis testing],How much interest do you have in the following information [understanding the nature of simulation based inference],How much interest do you have in the following information [integrating statistical knowledge to my future profession],How much interest do you have in the following information [knowing why statistics is relevant to my major],I find Statistics interesting., I generally have fun when I am learning Statistics topics.,I am happy working on Statistics topics.,Studying Statistics is worthwhile for me because what I learn will improve my career prospects.,I had trouble understanding Statistics because of how I think. ,I had no idea of what was going on in this Statistics course. ,I made a lot of math errors in Statistics. ,One of my main difficulties in learning Statistics was all of the equations. ,I found it difficult to understand statistical concepts. ,I am willing to seek help when I am struggling academically (e.g. asking a tutor/professor/classmate). ,I often need(ed) guidance to understand Statistics. ,"When Statistics became challenging, I stopped trying. ",I often “felt dumb” during this class. ,Did your confidence in statistics go up or down after taking this course?,Please explain your answer to the previous question.,What could the course have done differently to increase your confidence in your abilities?,How do you identify yourself?
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,2,2,2,7,5,4,2,5,4,5,5,3,Up,I felt better but it was still confusing to me as I struggle with Math in general,I think the quickness was the real problem and also being in a real classroom would’ve been better for asking questions,Woman
Interested,Interested,Very Interested,Neutral,Neutral,Interested,Interested,6,4,3,3,6,3,6,7,2,7,5,3,5,Up,I did not pass statistics during the spring quarter and did not understand anything. Taking this course was much more organized and I understood all concepts so much faster. ,I think telling me what I did wrong for all assignments would have been helpful. ,Woman
Interested,Not at all interested;Slightly interested,Not at all interested;Slightly interested,Not at all interested;Slightly interested,Neutral,Neutral;Interested,Neutral;Interested,4,4,4,5,4,3,5,3,4,5,6,3,5,No change,I've always had the same perspective when it comes to math. It's hard but it takes time.,commit days to just lectures and commit days for just assignments,Man
Interested,Interested,Neutral,Slightly interested,Interested,Very Interested,Neutral,6,5,3,7,3,2,5,7,5,2,7,3,1,No change,"I think because I came into this class with previous experience with the coding aspect of statistics, I learned more about the interpretation of graphical summaries and using formulas and equations to compute manually what code can do automatically. This course also helped me become a better writer when explaining concepts. Although lengthy, I found the questions that were ""explain to someone who isn't in statistics"" structured really helpful to clarify my own understanding. I chose no change because this course evened out my statistics knowledge that I had before. ","As a deadline driven student, I understood that the assignments such as labs and investigations were due by the end of the day and not the class, but sometimes on longer labs and investigations, having only one hour (sometimes less) to complete the assignment did make me panic a little as I felt rushed to complete this by the end of class, so sometimes I felt like the goal of class was to complete the assignment, because there wasn't much time to settle with the new information being learned every day. However, I feel like this is more a personal flaw that I can definitely work on. I know the duration of the class is out of the instructor's hands, but maybe allocating a little more time for the group work would have made me a better learner and increase my confidence in my abilities. ",Woman
Neutral,Slightly interested,Slightly interested,Neutral,Not at all interested,Interested,Interested,4,2,4,4,6,2,2,1,6,5,2,2,2,No change,"I took AP stats in highschool, it felt the same.",Practice quizzes to test yourself rather than it being behind a paywall with the textbook.,Prefer not to specify
Interested,Interested,Interested,Neutral,Neutral,Interested,Interested,6,5,5,5,4,2,2,2,3,6,4,2,2,Up,I am currently a statistics major switching to another major but taking this class made me appreciate statistics more than I thought I did. ,I could have gone to office hours more. ,Woman
Interested,Neutral,Neutral,Slightly interested,Neutral,Neutral,,3,3,3,4,5,3,5,4,4,6,4,2,4,Up,"I previously took a different stats but I had to drop the class due to a loss of love one and bad mental health and not doing well. But in this class I felt like I learned more and understand, it was a bit confusing but easier to grasp and more interesting. I'm very grateful for this class. And I hope for the best for my grade :)",more learn with the teacher and a different time for the class. ,Woman
Interested,Interested,Interested,Slightly interested,Interested,Slightly interested,Slightly interested,5,5,5,4,3,2,4,2,3,6,4,2,2,Up,"I feel as though I learned a lot more to where if there was a second part to this class, I would feel ready!",Maybe a little bit of independent work just to see as a test if I could really do it on my own.  ,Woman
Interested,Interested,Neutral,Interested,Interested,Neutral,Interested,4,4,5,3,4,2,3,6,3,6,6,2,5,Up,"Before going into statistics, I was nervous. I took AP statistics in highschool and didn’t have the best teacher so it kind of ruined my confidence in statistics. The way it was taught to me in this course provided enough practice and guidance that my confidence went up. ",Possible work through labs as a full class instead of a group ,Woman
Interested,Interested,Very Interested,Neutral,Not at all interested,Very Interested,Interested,3,4,6,3,5,2,2,2,2,1,6,3,1,Up,"I was previously a biological science major with a concentration in molecular and cellular biology. My first year of college was all stem courses. Through a lot of my classes I lost my confidence in s.t.e.m classes including stats. Although I loved biology the other courses made me rethink my major and I took a GE in the field that I am in now. I switched and I couldn't be happier. With that being said this is the first stem related class I've taken in over a year. I was nervous about taking this class but its needed for my major. I had locked up the s.t.e.m. side of my brain for over a year, however this class made me feel capable of learning, understanding and using statistics again. ",For a five week class over zoom I think there really isn't anything that could of been done differently. Maybe some kind of way to make the lecture more interactive since it is on zoom. ,Woman
